URL,Type,"Blog Category",ID
https://www.fireeye.com/blog/threat-research/2021/05/unc2529-triple-double-trifecta-phishing-campaign.html,blog,"Threat Research",/2021/05/unc2529-triple-double-trifecta-phishing-campaign.html
https://www.fireeye.com/blog/threat-research/2021/05/shining-a-light-on-darkside-ransomware-operations.html,blog,"Threat Research",/2021/05/shining-a-light-on-darkside-ransomware-operations.html
https://www.fireeye.com/blog/threat-research/2021/05/increasing-low-sophistication-operational-technology-compromises.html,blog,"Threat Research",/2021/05/increasing-low-sophistication-operational-technology-compromises.html
https://www.fireeye.com/blog/threat-research/2021/05/updates-on-chinese-apt-compromising-pulse-secure-vpn-devices.html,blog,"Threat Research",/2021/05/updates-on-chinese-apt-compromising-pulse-secure-vpn-devices.html
https://www.fireeye.com/blog/threat-research/2021/06/darkside-affiliate-supply-chain-software-compromise.html,blog,"Threat Research",/2021/06/darkside-affiliate-supply-chain-software-compromise.html
https://www.fireeye.com/blog/threat-research/2021/07/capa-2-better-stronger-faster.html,blog,"Threat Research",/2021/07/capa-2-better-stronger-faster.html
https://www.fireeye.com/blog/products-and-services/2021/05/managed-defense-now-supports-microsoft-defender-for-endpoint.html,blog,"Mandiant Stories",/2021/05/managed-defense-now-supports-microsoft-defender-for-endpoint.html
https://www.fireeye.com/blog/products-and-services/2021/05/prove-value-of-security-investments-instill-confidence-across-organization.html,blog,"Mandiant Stories",/2021/05/prove-value-of-security-investments-instill-confidence-across-organization.html
https://www.fireeye.com/blog/products-and-services/2021/05/information-storage-management-provider-maximizes-security-value-mandiant-security-validation.html,blog,"Mandiant Stories",/2021/05/information-storage-management-provider-maximizes-security-value-mandiant-security-validation.html
https://www.fireeye.com/blog/products-and-services/2021/05/mandiant-advantage-browser-plugin-insights-expertise-intelligence.html,blog,"Mandiant Stories",/2021/05/mandiant-advantage-browser-plugin-insights-expertise-intelligence.html
https://www.fireeye.com/blog/products-and-services/2021/05/how-mandiant-is-helping-governments-build-cyber-capacity.html,blog,"Mandiant Stories",/2021/05/how-mandiant-is-helping-governments-build-cyber-capacity.html
https://www.fireeye.com/blog/products-and-services/2021/05/lower-risk-digital-transformation-leads-to-costly-breach.html,blog,"Mandiant Stories",/2021/05/lower-risk-digital-transformation-leads-to-costly-breach.html
https://www.fireeye.com/blog/products-and-services/2021/06/bringing-clarity-to-gov-cyber-security-challenge-with-xdr.html,blog,"Mandiant Stories",/2021/06/bringing-clarity-to-gov-cyber-security-challenge-with-xdr.html
https://www.fireeye.com/blog/products-and-services/2021/06/new-future-for-fireeye-and-mandiant-accelerating-opportunities.html,blog,"Mandiant Stories",/2021/06/new-future-for-fireeye-and-mandiant-accelerating-opportunities.html
https://www.fireeye.com/blog/products-and-services/2021/06/when-it-comes-to-security-validation-bas-is-not-enough.html,blog,"Mandiant Stories",/2021/06/when-it-comes-to-security-validation-bas-is-not-enough.html
https://www.fireeye.com/blog/products-and-services/2021/06/effective-on-demand-cyber-intelligence-training.html,blog,"Mandiant Stories",/2021/06/effective-on-demand-cyber-intelligence-training.html
https://www.fireeye.com/blog/products-and-services/2021/06/prove-your-next-cyber-investment-addresses-most-risk.html,blog,"Mandiant Stories",/2021/06/prove-your-next-cyber-investment-addresses-most-risk.html
https://www.fireeye.com/blog/products-and-services/2021/06/lighten-the-load-with-xdr-for-better-threat-detection.html,blog,"Mandiant Stories",/2021/06/lighten-the-load-with-xdr-for-better-threat-detection.html
https://www.fireeye.com/blog/products-and-services/2021/07/fostering-cti-development-with-mandiant-intelligence-services.html,blog,"Mandiant Stories",/2021/07/fostering-cti-development-with-mandiant-intelligence-services.html
https://www.fireeye.com/blog/products-and-services/2021/07/mandiant-saves-restaurant-company-millions-by-avoiding-ransomware.html,blog,"Mandiant Stories",/2021/07/mandiant-saves-restaurant-company-millions-by-avoiding-ransomware.html
https://www.fireeye.com/blog/executive-perspective/2021/05/pandemic-impacts-to-the-cyber-threat-landscape.html,blog,"Industry Perspectives",/2021/05/pandemic-impacts-to-the-cyber-threat-landscape.html
https://www.fireeye.com/blog/executive-perspective/2021/05/top-cyber-threats-to-latin-america-and-the-caribbean.html,blog,"Industry Perspectives",/2021/05/top-cyber-threats-to-latin-america-and-the-caribbean.html
https://www.fireeye.com/blog/executive-perspective/2021/06/low-sophistication-threat-actors-continue-to-target-ot.html,blog,"Industry Perspectives",/2021/06/low-sophistication-threat-actors-continue-to-target-ot.html
https://www.fireeye.com/blog/threat-research/2010/06/web-historian-reloaded.html,blog,"threat research",/2010/06/web-historian-reloaded.html
https://www.fireeye.com/blog/threat-research/2010/07/malware-persistence-windows-registry.html,blog,"threat research",/2010/07/malware-persistence-windows-registry.html
